Table,Column,Type,Size,Nulls,Auto,Default,Comments
noteevents,chartdate,timestamp,22,√,NA,null,Date when the note was charted.
noteevents,charttime,timestamp,22,√,NA,null,Date and time when the note was charted. Note that some notes (e.g. discharge summaries) do not have a time associated with them: these notes have NULL in this column.
noteevents,description,varchar,255,√,NA,null,"A more detailed categorization for the note, sometimes entered by free-text."
noteevents,hadm_id,int4,10,√,NA,null,Foreign key. Identifies the hospital stay.
noteevents,iserror,bpchar,1,√,NA,null,Flag to highlight an error with the note.
noteevents,row_id,int4,10,,NA,,Unique row identifier.
noteevents,storetime,timestamp,22,√,NA,null,
noteevents,subject_id,int4,10,,NA,,Foreign key. Identifies the patient.
noteevents,text,text,2147483647,√,NA,null,Content of the note.
outputevents,cgid,int4,10,√,NA,null,
outputevents,charttime,timestamp,22,√,NA,null,
outputevents,hadm_id,int4,10,√,NA,null,
outputevents,icustay_id,int4,10,√,NA,null,
outputevents,iserror,int4,10,√,NA,null,
outputevents,itemid,int4,10,√,NA,null,
outputevents,newbottle,bpchar,1,√,NA,null,
outputevents,row_id,int4,10,,NA,,
outputevents,stopped,varchar,30,√,NA,null,
outputevents,storetime,timestamp,22,√,NA,null,
outputevents,subject_id,int4,10,,NA,,
outputevents,value,float8,"17,17",√,NA,null,
outputevents,valueuom,varchar,30,√,NA,null,
patients,dob,timestamp,22,,NA,,Date of birth.
patients,dod,timestamp,22,√,NA,null,Date of death. Null if the patient was alive at least 90 days post hospital discharge.
patients,dod_hosp,timestamp,22,√,NA,null,Date of death recorded in the hospital records.
patients,dod_ssn,timestamp,22,√,NA,null,Date of death recorded in the social security records.
patients,expire_flag,int4,10,,NA,,Flag indicating that the patient has died.
patients,gender,varchar,5,,NA,,Gender.
patients,row_id,int4,10,,NA,,Unique row identifier.
patients,subject_id,int4,10,,NA,,Primary key. Identifies the patient.
prescriptions,dose_unit_rx,varchar,120,√,NA,null,Unit of measurement associated with the dose.
prescriptions,dose_val_rx,varchar,120,√,NA,null,Dose of the drug prescribed.
prescriptions,drug,varchar,100,,NA,,Name of the drug.
prescriptions,drug_name_generic,varchar,100,√,NA,null,Generic drug name.
prescriptions,drug_name_poe,varchar,100,√,NA,null,Name of the drug on the Provider Order Entry interface.
prescriptions,drug_type,varchar,100,,NA,,Type of drug.
prescriptions,enddate,timestamp,22,√,NA,null,Date when the prescription ended.
prescriptions,form_unit_disp,varchar,120,√,NA,null,Unit of measurement associated with the formulation.
prescriptions,form_val_disp,varchar,120,√,NA,null,Amount of the formulation dispensed.
prescriptions,formulary_drug_cd,varchar,120,√,NA,null,Formulary drug code.
prescriptions,gsn,varchar,200,√,NA,null,Generic Sequence Number.
prescriptions,hadm_id,int4,10,,NA,,Foreign key. Identifies the hospital stay.
prescriptions,icustay_id,int4,10,√,NA,null,Foreign key. Identifies the ICU stay.
prescriptions,ndc,varchar,120,√,NA,null,National Drug Code.
prescriptions,prod_strength,varchar,120,√,NA,null,Strength of the drug (product).
prescriptions,route,varchar,120,√,NA,null,"Route of administration, for example intravenous or oral."
prescriptions,row_id,int4,10,,NA,,Unique row identifier.
prescriptions,startdate,timestamp,22,√,NA,null,Date when the prescription started.
prescriptions,subject_id,int4,10,,NA,,Foreign key. Identifies the patient.
procedureevents_mv,cancelreason,int2,5,√,NA,null,
procedureevents_mv,cgid,int4,10,√,NA,null,
procedureevents_mv,comments_canceledby,varchar,30,√,NA,null,
procedureevents_mv,comments_date,timestamp,22,√,NA,null,
procedureevents_mv,comments_editedby,varchar,30,√,NA,null,
procedureevents_mv,continueinnextdept,int2,5,√,NA,null,
procedureevents_mv,endtime,timestamp,22,√,NA,null,
procedureevents_mv,hadm_id,int4,10,,NA,,
procedureevents_mv,icustay_id,int4,10,√,NA,null,
procedureevents_mv,isopenbag,int2,5,√,NA,null,
procedureevents_mv,itemid,int4,10,√,NA,null,
procedureevents_mv,linkorderid,int4,10,√,NA,null,
procedureevents_mv,location,varchar,30,√,NA,null,
procedureevents_mv,locationcategory,varchar,30,√,NA,null,
procedureevents_mv,ordercategorydescription,varchar,50,√,NA,null,
procedureevents_mv,ordercategoryname,varchar,100,√,NA,null,
procedureevents_mv,orderid,int4,10,√,NA,null,
procedureevents_mv,row_id,int4,10,,NA,,
procedureevents_mv,secondaryordercategoryname,varchar,100,√,NA,null,
procedureevents_mv,starttime,timestamp,22,√,NA,null,
procedureevents_mv,statusdescription,varchar,30,√,NA,null,
procedureevents_mv,storetime,timestamp,22,√,NA,null,
procedureevents_mv,subject_id,int4,10,,NA,,
procedureevents_mv,value,float8,"17,17",√,NA,null,
procedureevents_mv,valueuom,varchar,30,√,NA,null,
procedures_icd,hadm_id,int4,10,,NA,,Foreign key. Identifies the hospital stay.
procedures_icd,icd9_code,varchar,10,,NA,,ICD9 code associated with the procedure.
procedures_icd,row_id,int4,10,,NA,,Unique row identifier.
procedures_icd,seq_num,int4,10,,NA,,Lower procedure numbers occurred earlier.
procedures_icd,subject_id,int4,10,,NA,,Foreign key. Identifies the patient.
services,curr_service,varchar,20,√,NA,null,Current service type.
services,hadm_id,int4,10,,NA,,Foreign key. Identifies the hospital stay.
services,prev_service,varchar,20,√,NA,null,Previous service type.
services,row_id,int4,10,,NA,,Unique row identifier.
services,subject_id,int4,10,,NA,,Foreign key. Identifies the patient.
services,transfertime,timestamp,22,,NA,,Time when the transfer occured.
transfers,curr_careunit,varchar,20,√,NA,null,Current careunit.
transfers,curr_wardid,int2,5,√,NA,null,Identifier for the current ward the patient is located in.
transfers,dbsource,varchar,20,√,NA,null,Source database of the item.
transfers,eventtype,varchar,20,√,NA,null,"Type of event, for example admission or transfer."
transfers,hadm_id,int4,10,,NA,,Foreign key. Identifies the hospital stay.
transfers,icustay_id,int4,10,√,NA,null,Foreign key. Identifies the ICU stay.
transfers,intime,timestamp,22,√,NA,null,Time when the patient was transferred into the unit.
transfers,los,float8,"17,17",√,NA,null,Length of stay in the unit in minutes.
transfers,outtime,timestamp,22,√,NA,null,Time when the patient was transferred out of the unit.
transfers,prev_careunit,varchar,20,√,NA,null,Previous careunit.
transfers,prev_wardid,int2,5,√,NA,null,Identifier for the previous ward the patient was located in.
transfers,row_id,int4,10,,NA,,Unique row identifier.
transfers,subject_id,int4,10,,NA,,Foreign key. Identifies the patient.
